cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7076,2026-08-17,60,110,580.00,0.00,580.00
SG-7077,2026-08-18,150,160,1220.00,0.00,1220.00
SG-7078,2026-08-19,150,110,1120.00,0.00,1120.00
SG-7079,2026-08-20,75,85,620.00,0.00,620.00
SG-7080,2026-08-21,200,88,1376.00,0.00,1376.00
SG-7081,2026-08-22,45,140,550.00,0.00,550.00
SG-7082,2026-08-23,260,70,1700.00,0.00,1700.00
SG-7083,2026-08-24,90,140,820.00,164.00,984.00
SG-7084,2026-08-25,75,60,570.00,0.00,570.00
SG-7085,2026-08-26,200,140,1480.00,0.00,1480.00
SG-7086,2026-08-27,45,60,390.00,0.00,430.00
SG-7087,2026-08-28,300,85,1970.00,0.00,1970.00
SG-7088,2026-08-16,75,130,710.00,0.00,710.00
SG-7089,2026-08-17,260,130,1820.00,0.00,1820.00
SG-7090,2026-08-18,60,140,640.00,0.00,640.00
SG-7091,2026-08-19,110,100,860.00,172.00,1032.00
SG-7092,2026-08-20,150,110,1120.00,0.00,1120.00
SG-7093,2026-08-21,300,85,1970.00,0.00,1970.00
SG-7094,2026-08-22,260,110,1780.00,0.00,1780.00
SG-7095,2026-08-23,110,45,750.00,0.00,750.00
SG-7096,2026-08-24,200,100,1400.00,0.00,1400.00
SG-7097,2026-08-25,260,95,1750.00,0.00,1750.00
SG-7098,2026-08-26,150,145,1190.00,0.00,1190.00
SG-7099,2026-08-27,45,85,440.00,88.00,528.00
SG-7100,2026-08-28,200,130,1460.00,0.00,1460.00
TOTAL,,,,,,28750.00
