cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7001,2026-07-02,260,60,1680.00,0.00,1680.00
SG-7002,2026-07-03,300,85,1970.00,0.00,1970.00
SG-7003,2026-07-04,60,85,530.00,0.00,570.00
SG-7004,2026-07-05,75,130,710.00,0.00,710.00
SG-7005,2026-07-06,60,160,680.00,0.00,680.00
SG-7006,2026-07-07,260,85,1730.00,0.00,1730.00
SG-7007,2026-07-08,260,130,1820.00,0.00,1820.00
SG-7008,2026-07-09,200,110,1420.00,284.00,1704.00
SG-7009,2026-07-10,200,140,1680.00,0.00,1680.00
SG-7010,2026-07-11,260,140,1840.00,0.00,1840.00
SG-7011,2026-07-12,200,110,1420.00,0.00,1420.00
SG-7012,2026-07-13,110,95,850.00,0.00,850.00
SG-7013,2026-07-01,90,145,830.00,0.00,830.00
SG-7014,2026-07-02,200,160,1520.00,0.00,1520.00
SG-7015,2026-07-03,200,130,1460.00,0.00,1460.00
SG-7016,2026-07-04,45,88,446.00,89.20,535.20
SG-7017,2026-07-05,60,88,536.00,0.00,536.00
SG-7018,2026-07-06,130,110,1000.00,0.00,1000.00
SG-7019,2026-07-07,300,88,1976.00,0.00,1976.00
SG-7020,2026-07-08,45,70,410.00,0.00,410.00
SG-7021,2026-07-09,200,110,1420.00,0.00,1420.00
SG-7022,2026-07-10,90,130,800.00,0.00,800.00
SG-7023,2026-07-11,110,145,950.00,0.00,950.00
SG-7024,2026-07-12,200,70,1340.00,268.00,1608.00
SG-7025,2026-07-13,60,100,560.00,0.00,560.00
TOTAL,,,,,,30259.20
