cnote_no,booking_dt,wt_kg,dist_km,freight_rs,chill_prem_rs,total_rs
SG-7101,2026-09-02,60,110,580.00,0.00,580.00
SG-7102,2026-09-03,150,45,990.00,0.00,990.00
SG-7103,2026-09-04,200,85,1370.00,0.00,1370.00
SG-7104,2026-09-05,150,45,990.00,0.00,990.00
SG-7105,2026-09-06,90,85,710.00,0.00,710.00
SG-7106,2026-09-07,260,140,1840.00,0.00,1840.00
SG-7107,2026-09-08,200,95,1390.00,0.00,1390.00
SG-7108,2026-09-09,90,95,730.00,146.00,876.00
SG-7109,2026-09-10,90,110,760.00,0.00,760.00
SG-7110,2026-09-11,60,88,536.00,0.00,536.00
SG-7111,2026-09-12,300,60,1920.00,0.00,1920.00
SG-7112,2026-09-13,200,160,1520.00,0.00,1520.00
SG-7113,2026-09-01,300,60,1920.00,0.00,1920.00
SG-7114,2026-09-02,45,95,505.00,0.00,505.00
SG-7115,2026-09-03,300,60,1920.00,0.00,1920.00
SG-7116,2026-09-04,45,145,560.00,112.00,672.00
SG-7117,2026-09-05,75,160,770.00,0.00,770.00
SG-7118,2026-09-06,130,145,1070.00,0.00,1070.00
SG-7119,2026-09-07,60,60,480.00,0.00,480.00
SG-7120,2026-09-08,90,60,660.00,0.00,660.00
SG-7121,2026-09-09,45,110,490.00,0.00,490.00
SG-7922,2026-09-10,130,45,870.00,0.00,870.00
SG-7123,2026-09-11,75,140,730.00,0.00,730.00
SG-7124,2026-09-12,60,110,580.00,116.00,696.00
SG-7125,2026-09-13,130,160,1100.00,0.00,1100.00
TOTAL,,,,,,25365.00
